Ranking;Score_ROI_Medio;Acertos_11;Acertos_12;Acertos_13;Acertos_14;Acertos_15;Matriz_IA_20_Dezenas
1;290.23;14304;2700;264;10;3;1, 2, 3, 4, 6, 8, 9, 10, 12, 13, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24
2;289.46;14489;2681;240;8;3;2, 3, 4, 5, 6, 7, 9, 10, 12, 13, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25
3;172.95;15068;2829;246;14;2;1, 2, 3, 5, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 21, 22, 23, 24, 25
4;172.75;14951;2982;242;13;2;2, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25
5;171.7;14877;2848;268;11;2;2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 19, 21, 23, 24, 25
6;171.39;14867;2785;245;11;2;1, 2, 3, 4, 6, 7, 9, 10, 12, 13, 14, 15, 17, 18, 19, 20, 21, 22, 24, 25
7;171.23;14547;2890;240;11;2;1, 2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 19, 20, 21, 22, 23, 24
8;171.03;14675;3003;268;9;2;1, 2, 3, 4, 6, 7, 10, 11, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25
9;170.88;14506;2723;257;11;2;1, 3, 6, 7, 8, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 25
10;170.5;14559;2741;241;10;2;1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 16, 18, 20, 21, 22, 25
11;170.34;14625;2783;252;9;2;1, 2, 3, 5, 6, 7, 8, 9, 10, 12, 13, 14, 15, 18, 19, 20, 21, 23, 24, 25
12;170.32;14375;2762;241;10;2;1, 3, 4, 5, 6, 7, 9, 11, 12, 13, 14, 16, 17, 18, 19, 20, 21, 23, 24, 25
13;170.09;14464;2776;245;9;2;1, 2, 3, 5, 6, 7, 9, 11, 12, 14, 15, 16, 17, 18, 20, 21, 22, 23, 24, 25
14;169.38;14593;2791;228;7;2;1, 3, 4, 5, 6, 7, 9, 10, 12, 13, 14, 15, 16, 17, 18, 19, 21, 23, 24, 25
15;169.26;14364;2680;232;8;2;1, 2, 4, 5, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18, 19, 21, 23, 24, 25
16;169.07;14193;2813;248;7;2;1, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 16, 17, 18, 20, 22, 23, 24, 25
17;168.79;14357;2797;241;6;2;1, 2, 3, 4, 5, 6, 7, 8, 11, 13, 14, 15, 16, 17, 19, 20, 22, 23, 24, 25
18;168.65;14494;2748;210;6;2;1, 2, 4, 5, 6, 7, 8, 10, 12, 14, 15, 16, 18, 19, 20, 21, 22, 23, 24, 25
19;167.89;14910;2817;239;2;2;1, 2, 3, 4, 6, 7, 9, 10, 11, 12, 13, 14, 17, 18, 19, 20, 22, 23, 24, 25
20;167.73;14518;2802;230;3;2;1, 2, 3, 4, 5, 6, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 23, 25
